FROM: http://127.0.0.1:8888/?corpus=762da13ca8334f4c7365a770c7768967&panels=collocatesgraph,reader,trends,summary,bubblelines&lang=en

Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
surrounding	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
surprisingly	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
surprising	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
suring	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
surfacewhere	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
surfacesprovides	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
surfaces.the	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
surfacepredicted	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
surfaceon	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
surfacein	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
surfacefall	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
surfacedepending	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
surfacedefined	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
surfaceas	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
surface.this	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
surface.machinesmove	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
surface.how	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
support	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
supplements	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
supinski	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
superscripts	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
supercomputinginstitute	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
supercomputers.parallel	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
super	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sup	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
suo	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sun	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sums	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sumption	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sumof	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
summatched	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
summarized	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sumed	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
suited	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
suggestthat	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
suggestions.cray	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
suggestion	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sug	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sufficient	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
suchthat	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
succeeding	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
subtracted	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
subspace	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
subset	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
submitted	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
su	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
studyof	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
studying	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
students	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
stu	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
strongly	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
strohmaierlater	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
stress	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
street	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
stream	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
strategies	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
strate	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
straint	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
straightline	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
straightforwardrecipe	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
stops	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
stock	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
steve	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sterrett	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
steps	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
stephen	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
stencil	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
stem	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
stein	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
staten	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
statementand	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
statcomput	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
startuptime	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
startuplatency	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
startup.the	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
startled	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
started	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
standardsand	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
standard	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
stances	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
stamp	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
stallcup	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
stages	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
ss	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
srinivasan	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
squareroot	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sponsored	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
splitting	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
spentin	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
speedups	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
speedup.siam	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
speculation	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
specifies	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
specificself	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
specificexamples	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
specifically	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
species	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
specialsetting	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
specialpublication	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
speakers	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
spe	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sparingly	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
spanned	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
spain	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
spaces	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
space.as	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sp	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sov	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sources	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sophisticatedand	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sons	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sonand	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sometimesthey	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
somereasonably	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
somereaders	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
somequantities	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
someof	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
somefraction	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
som	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
solves	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
solvedby	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
solidline	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sole	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
soiling	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
softwareparameters	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
soft	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
snavely	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sn	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
smallerthe	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
smallernumber	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
smallbut	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
small.although	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
slutz	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
slowprocessors	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
slowing	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
slower	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
slots	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
slope1	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sloot	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
slight	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
sl	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sky	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
sk	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
sj	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
sizeused	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sizemachine	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sizel	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sizek	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sizeis	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sizeincreases	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sizeand	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
sizea4	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sixth	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sixindicates	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
six.we	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
sistent	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sinuous	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
singular	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
singledimensionless	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
singh’scache	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sincethe	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
simulations	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
simulateoverprint	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
simply	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
simplify	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
simplicity	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
simplest	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
simplermodels	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
simpleform	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
simon	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
similarto	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
similarmachines	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
similarityscalingmixing	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
similarityscaling	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
similarityproperties	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
similarityparameters	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
similarityparameter	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
similarity.the	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
similar.otherwise	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
simil	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
significance	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
signers	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sig	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sidesuch	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sidesof	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sided	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shuler	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
shukla	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
showsthe	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
showeda	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
shouldyield	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
shouldconsult	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shortcut	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shifts	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shen	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
shbh	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sharing	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
shapes	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shapek	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shape.not	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
shape.from	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
severe	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
seventhinternational	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sevenoaks	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
settings	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
setthree	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sets	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
setof	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
server	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
served	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
serve	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sequenceof	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
september2007	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
september1988	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
separatesthe	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
sepa	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sents	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sentfrom	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sentations	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sent	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sensitive	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
sense	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
sendingmessagesmust	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
sending	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
semanticquibble	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
selves	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
selection	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
select	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
seldom	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
segregating	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
seenthat	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
seemscounterintuitive	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
secondtwo	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
secondly	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
secondforce	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
screen	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
scikit	1	1	1.7763252E-5	6.0	2.4494898	1.7307026E-4,0.0,0.0,0.0,0.0,0.0
scienceliterature	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
schulz	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
school	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
schiffler	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,3.0807147E-4,0.0
scheme	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
scending	1	1	1.7763252E-5	6.0	2.4494898	0.0,4.815796E-5,0.0,0.0,0.0,0.0
scattering	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,9.643201E-5,0.0,0.0
scalingparameters	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
scalefactors	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,0.0,0.0,0.0,1.472971E-4
scale.these	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
scalarproduct	1	1	1.7763252E-5	6.0	2.4494898	0.0,0.0,1.0697475E-4,0.0,0.0,0.0
